Filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[max_logit],fusion[mean_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Dolphin_Fake.mp4,0.21487599999999996,1.0,0.0,1.0,0.04132199999999997,0.21487599999999996,1.0,0.08264499999999997,1.0
/Cow_Fake.mp4,0.07438,1.0,0.0,1.0,0.0,0.07438,1.0,0.0,1.0
/Skier_Real.mp4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/Horse_Fake.mp4,0.628099,1.0,0.0,1.0,0.057850999999999986,0.628099,1.0,0.29752100000000004,1.0
/Thunder_Fake.mp4,0.68595,1.0,0.0,1.0,0.21487599999999996,0.68595,1.0,0.355372,1.0
/Soldier_Fake.mp4,0.03305800000000003,1.0,0.0,1.0,0.0,0.03305800000000003,1.0,0.0,1.0
/Purse_Fake.mp4,0.983471,1.0,0.0,1.0,0.595041,0.983471,1.0,0.801653,1.0
/Bike_Fake.mp4,0.991736,1.0,0.0,1.0,0.27272700000000005,0.991736,1.0,0.429752,1.0
/PolarBear_Fake.mp4,0.17355399999999999,1.0,0.0,1.0,0.0,0.17355399999999999,1.0,0.016529000000000016,1.0
/Cow_Real.mp4,0.992063,0.968254,1.0,0.968254,1.0,0.992063,0.40476199999999996,1.0,0.06349199999999999
/Drone_Fake.mp4,0.438017,1.0,0.0,1.0,0.0,0.438017,1.0,0.0,1.0
/Sofa_Fake.mp4,0.785124,1.0,0.0,1.0,0.264463,0.785124,1.0,0.595041,1.0
/Mouse_Fake.mp4,0.04958700000000005,1.0,0.0,1.0,0.0,0.04958700000000005,1.0,0.008264000000000049,1.0
/Soldier_Real.mp4,1.0,0.673333,1.0,0.673333,1.0,1.0,0.386667,1.0,0.18666700000000003
/Farmer_Fake.mp4,0.23966900000000002,1.0,0.0,1.0,0.0,0.23966900000000002,1.0,0.0,1.0
/Crocodile_Fake.mp4,0.61157,1.0,0.0,1.0,0.528926,0.61157,1.0,0.578512,1.0
/Ball_Fake.mp4,0.09090900000000002,0.950413,0.0,0.950413,0.0,0.09090900000000002,1.0,0.024792999999999954,1.0
/Skier_Fake.mp4,0.14876,1.0,0.0,1.0,0.0,0.14876,1.0,0.0,1.0
/Butterfly_Fake.mp4,0.694215,1.0,0.0,1.0,0.396694,0.694215,1.0,0.53719,1.0
/Dancer_Fake.mp4,0.809917,1.0,0.0,1.0,0.950413,0.809917,1.0,0.92562,1.0
/TV_Fake.mp4,0.553719,1.0,0.0,1.0,0.03305800000000003,0.553719,1.0,0.11570199999999997,1.0
/Car_Fake.mp4,0.785124,0.991736,0.0,1.0,0.14049599999999995,0.77686,1.0,0.29752100000000004,1.0
/Tiger_Fake.mp4,0.983471,1.0,0.0,1.0,0.801653,0.983471,1.0,0.909091,1.0
/Pilot_Fake.mp4,0.016529000000000016,0.421488,0.0,0.421488,0.0,0.016529000000000016,0.942149,0.0,1.0
/Rocket_Fake.mp4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
/TaxiDriver_Fake.mp4,0.0,0.07438,0.0,0.07438,0.0,0.0,0.661157,0.0,0.917355
/Doctor_Fake.mp4,0.29752100000000004,1.0,0.0,1.0,0.0,0.29752100000000004,1.0,0.008264000000000049,1.0
/Chef_Fake.mp4,0.14049599999999995,0.991736,0.0,0.991736,0.0,0.14049599999999995,1.0,0.0,1.0
Average,0.4793505357142857,0.9311192857142857,0.10714285714285714,0.9314144285714285,0.2606257142857143,0.4790553928571429,0.9426691071428571,0.3208382142857143,0.9345540714285715
