filename,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[max_logit],fusion[mean_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0000.jpg,-0.51827025,1.1015112,-1.5038751,1.1015112,-0.30687806,-0.51827025,1.3419574,-0.26060053907198355,1.9195278
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0001.jpg,-0.92703515,0.934759,-2.9672425,0.934759,-0.9865062,-0.92703515,1.0965334,-0.6183151607454005,1.4362115
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0002.jpg,-0.5035241,0.88515496,-1.394501,0.88515496,-0.33762336,-0.5035241,1.1865357,-0.29097942081926076,1.7671788
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0003.jpg,-0.3763275,0.69719195,-0.49877015,0.69719195,-0.0593019,-0.3763275,1.1944559,-0.06347784704764514,1.9675877
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0004.jpg,-0.75085145,0.7351172,-0.17525639,0.7351172,-0.06366355,-0.17525639,1.222873,-0.06287317822137972,1.995242
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0005.jpg,-0.4786827,0.76745534,-1.295072,0.76745534,-0.3354331,-0.4786827,1.1144052,-0.29474342464181,1.7061682
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0006.jpg,-0.47199064,1.1019136,-1.6127782,1.1019136,-0.32761842,-0.47199064,1.343651,-0.2669514804272185,1.9182498
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0007.jpg,-0.3747617,1.3718908,-1.5300933,1.3718908,-0.17765474,-0.3747617,1.5783118,-0.15624189371236563,2.2133865
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0008.jpg,-0.6922027,0.86591697,-0.2466608,0.86591697,-0.024315506,-0.2466608,1.2972071,-0.03189050870534016,2.0828168
/Users/stefanobonetto/Documents/GitHub/ClipBased-SyntheticImageDetection/temp_frames/frame_0009.jpg,-0.4122857,1.3105046,-1.8727468,1.3105046,-0.32484266,-0.4122857,1.50937,-0.24226331720725391,2.0829573
